Id,GithubUrl,Role
10239185,besufkadmenji,['Mobile']
12045916,jhasubhash,"['Frontend', 'Backend']"
3003669,sasuke40,['Frontend']
4872155,wilder,['Backend']
6711997,skav3n,['Frontend']
6718530,deshatom,['Mobile']
6719244,sergey121,['Frontend']
3013690,ss-bb,['Frontend']
12054261,shubhammahalank,['DataScience']
13981530,safwan-samsudeen,['Backend']
13980423,crse,['Mobile']
4881251,thisast,['Mobile']
3014041,naneri,['Backend']
3018870,cody1213,['DevOps']
6727930,plajdo,"['Frontend', 'Backend']"
4876515,alimurtazarabi,['Frontend']
13983584,badalsherpa,"['Frontend', 'Backend']"
3017342,davidrpugh,['DataScience']
3024661,sinanduman,['Backend']
3025001,hatemb,['DataScience']
8563549,saghishiri,['Frontend']
822774,ntoxeg,['Backend']
3020058,jcliberatol,['Frontend']
6732710,kregister,['Frontend']
8569155,hasanali28,['DataScience']
6734785,haneetsingh,"['Frontend', 'Backend']"
830785,somethvictory,['Mobile']
12075598,cristopheryusuke,['Frontend']
10272204,pranavmujumdar,['Frontend']
6739703,anmoldeep0123,"['Frontend', 'Backend']"
4902660,tal1992,['Frontend']
13999797,chetanrakhra,['Backend']
14000161,felipepitol,['Frontend']
6748763,easazade,['Mobile']
8579855,gokulakannant,"['Frontend', 'Backend']"
845800,shearerp,['DataScience']
846624,bsnux,['Backend']
6751438,pranavj1001,['Mobile']
12081648,bhush-1603041,['Frontend']
3043764,mlaroy,['Frontend']
847382,pitaj,"['Frontend', 'Backend']"
10278638,ujingene,['DevOps']
8587661,deepakpathania,['Backend']
853075,guanlun,['Mobile']
6751907,naimjeem,['Frontend']
3053594,A-Sandwich,['Backend']
8585699,itskhagendra,['DataScience']
3052527,manimal1,['Frontend']
863119,lorem--ipsum,['Frontend']
8591612,dizefurkan,"['Frontend', 'Backend']"
860311,vitovalov,['Mobile']
6759694,eclecticexistential,['Frontend']
6763074,patrickbucher,['Backend']
4919355,tmerrittsmith,['DataScience']
8593904,travorlzh,['Frontend']
8593983,sivakumartskl,['Frontend']
3056908,shimuls,['Mobile']
6763334,rsampdev,['Backend']
6763565,halumz,['Frontend']
875813,miaonster,['Frontend']
8599900,anyelopetit,['Frontend']
4922688,jreybaylen,['Mobile']
12098418,jkmosdev,['Frontend']
14021021,piyushpalod,['Frontend']
884565,vparihar01,['Mobile']
10303948,edsontrick,"['Frontend', 'Backend']"
8600606,bmcmenamin,['DataScience']
14024134,iagxferreira,['Backend']
6773458,rauf-asad,['DataScience']
10304819,andrelmlins,['Frontend']
4935838,qinbx,['Frontend']
