Id,GithubUrl,Role
6476982,stephcerratti,['Frontend']
334935,wendelmaques,['FullStack']
335363,ricsmania,['FullStack']
8357798,rominamartin,"['Frontend', 'Mobile']"
11954857,morganjunlin,['FullStack']
6482248,pprathameshmore,"['Backend', 'Mobile', 'FullStack']"
2715987,gulisashvili,['Frontend']
4614886,jeramai,"['Frontend', 'Backend']"
8363837,harriscreativity,"['Mobile', 'FullStack']"
357994,mitc0185,['FullStack']
358245,chaobin,['Mobile']
359540,sauceforge,['DevOps']
6481767,aadityamaheshwari,['FullStack']
4620259,billyhalim,"['Frontend', 'Backend', 'Mobile', 'FullStack']"
4622165,dilipmaharjan,['FullStack']
4622470,rohanil,['Backend']
6489012,ysfaran,['FullStack']
4622075,alokkarma,"['Frontend', 'FullStack']"
364282,drsammyd,"['Frontend', 'FullStack']"
13916437,jaicedev,['Frontend']
13913428,briarmossx1,"['Frontend', 'FullStack']"
13914183,hiredtocode,['Frontend']
4628807,ismaelezequiel,"['Frontend', 'Backend', 'FullStack']"
374783,studiomohawk,['Frontend']
10146400,codr99,['DataScience']
10154466,openmohan,['FullStack']
2731417,sirhoe,"['DevOps', 'FullStack']"
11965698,kwlahr,"['Frontend', 'FullStack']"
379949,sneas,['Frontend']
4632555,elivank,['Backend']
4631493,joaomacp,"['Backend', 'FullStack']"
2736686,ErikUggeldahl,['Mobile']
378704,kirankoduru,['FullStack']
6495570,abhirkeesara,['Frontend']
10157223,sknight317,['FullStack']
13925694,iamnini,"['Frontend', 'Backend', 'FullStack']"
4637638,pichillilorenzo,"['Mobile', 'FullStack']"
6502626,phantran,['FullStack']
2737477,michael-hoffman,['DataScience']
13926935,kabirkhyrul,['FullStack']
392923,lebedov,['DataScience']
389790,pauljandrew,['FullStack']
395698,rajeem,['FullStack']
8385829,praveencodes,['Frontend']
10164573,hosseinhayati128,['DataScience']
6510470,erolrecep,['DataScience']
8389687,quwaysim,['Mobile']
6512762,davidfumo,['Mobile']
11983620,xanderios,['Frontend']
10170271,parimaay,['Mobile']
4645322,jhereu,['FullStack']
2742650,SamMorrowDrums,['FullStack']
398091,ppetraki,['FullStack']
8391703,yanshuf0,['FullStack']
4644335,bhavinshah2010,['Frontend']
10173766,fengshangwuqi,"['Frontend', 'FullStack']"
10177264,blake-enyart,['Backend']
4647781,davidcetinkaya,['Frontend']
2749890,chyngyz,['Frontend']
