Id,GithubUrl,Role
10239185,besufkadmenji,['Mobile']
2821842,harryandriyan,"['Frontend', 'Backend']"
14000161,felipepitol,['Frontend']
2823106,slawciu,['Mobile']
6582205,bhaltair,['Frontend']
2825522,leega0,['Frontend']
13999797,chetanrakhra,['Backend']
12054261,shubhammahalank,['DataScience']
8461517,zurek11,['Backend']
6580318,knightconan,['DataScience']
6580467,lavanyamano,['Mobile']
2830373,chojayr,['DevOps']
4722804,krismorte,['DevOps']
548568,blessenm,['Mobile']
4726968,schramm80,['Backend']
546686,cbrandolino,['Frontend']
4731632,karolharumi,['Frontend']
4738227,gopinath-langote,['Mobile']
4734272,olveirap,['DataScience']
14021021,piyushpalod,['Frontend']
2850476,julianlopezb,['DataScience']
12075598,cristopheryusuke,['Frontend']
4741571,ericbaranowski,['DevOps']
2850383,kamerk22,['DevOps']
6606000,alanssoares,['Mobile']
14024134,iagxferreira,['Backend']
568838,fadehelix,['Frontend']
584081,abanoubnassem,['Mobile']
6611055,weiji14,['DataScience']
6608273,mesarikaya,"['Backend', 'DataScience']"
8488817,dorinmusteata,['Backend']
6609728,epidarian,['DevOps']
587877,jducrot,['Frontend']
8492750,jlgm,['Backend']
12081648,bhush-1603041,['Frontend']
10272204,pranavmujumdar,['Frontend']
14035734,rashidtvmr,['Mobile']
6621582,ryanjgallagher,['DataScience']
8501250,twolffpiggott,['DataScience']
2862684,yongsen,['Mobile']
10278638,ujingene,['DevOps']
4763593,tanvir-ux,['Mobile']
2869043,leggitta,['DataScience']
4765648,giovannimontenegro,['Frontend']
617373,vedmack,['Frontend']
4772066,eddyizm,['Backend']
14046295,somuyadav,['Mobile']
12098418,jkmosdev,['Frontend']
8511274,sakib042,['Frontend']
620622,bizob2828,['Backend']
8515472,manasbondale,['Mobile']
628515,omrihar,['DataScience']
4777406,unipheas,"['Frontend', 'Backend']"
4772229,shierro,['DevOps']
625217,alireza-naghizadeh,['Backend']
626433,ernestoarbitrio,['Backend']
2882376,renielcanlas,"['Frontend', 'Backend', 'Mobile']"
6637996,ianomad,['Backend']
4780154,jasminexie,['Frontend']
640815,salvan13,['Frontend']
8526684,biplovkumar,['Mobile']
4786793,shubhamsharmacs,['DataScience']
14055613,CrgioPeca88,['Frontend']
14055692,sandipdesigner,['Frontend']
647622,pronix,['DevOps']
4780576,mehdi-alouane,['Frontend']
